application_id,job_id,candidate_id,selected
APP0015387,JOB0015387,CAND0015387,1
APP0010973,JOB0010973,CAND0010973,1
APP0005816,JOB0005816,CAND0005816,0
APP0029325,JOB0029325,CAND0029325,0
APP0012831,JOB0012831,CAND0012831,0
APP0004027,JOB0004027,CAND0004027,0
APP0036980,JOB0036980,CAND0036980,0
APP0005765,JOB0005765,CAND0005765,1
APP0024544,JOB0024544,CAND0024544,1
APP0049573,JOB0049573,CAND0049573,0
APP0037402,JOB0037402,CAND0037402,0
APP0032782,JOB0032782,CAND0032782,1
APP0025662,JOB0025662,CAND0025662,0
APP0023685,JOB0023685,CAND0023685,1
APP0005343,JOB0005343,CAND0005343,1
APP0042796,JOB0042796,CAND0042796,0
APP0026851,JOB0026851,CAND0026851,0
APP0047934,JOB0047934,CAND0047934,1
APP0011287,JOB0011287,CAND0011287,1
APP0030889,JOB0030889,CAND0030889,1
APP0003295,JOB0003295,CAND0003295,0
APP0038276,JOB0038276,CAND0038276,0
APP0020913,JOB0020913,CAND0020913,1
APP0029694,JOB0029694,CAND0029694,1
APP0037774,JOB0037774,CAND0037774,1
APP0038798,JOB0038798,CAND0038798,1
APP0022195,JOB0022195,CAND0022195,1
APP0033887,JOB0033887,CAND0033887,0
APP0027909,JOB0027909,CAND0027909,1
APP0029112,JOB0029112,CAND0029112,1
APP0018266,JOB0018266,CAND0018266,1
APP0040155,JOB0040155,CAND0040155,0
APP0009644,JOB0009644,CAND0009644,1
APP0010035,JOB0010035,CAND0010035,0
APP0046029,JOB0046029,CAND0046029,1
APP0046831,JOB0046831,CAND0046831,0
APP0026951,JOB0026951,CAND0026951,0
APP0039357,JOB0039357,CAND0039357,1
APP0035275,JOB0035275,CAND0035275,1
APP0024935,JOB0024935,CAND0024935,1
APP0031942,JOB0031942,CAND0031942,0
APP0007492,JOB0007492,CAND0007492,1
APP0042452,JOB0042452,CAND0042452,1
APP0015941,JOB0015941,CAND0015941,1
APP0026604,JOB0026604,CAND0026604,0
APP0045356,JOB0045356,CAND0045356,1
APP0010188,JOB0010188,CAND0010188,1
APP0029489,JOB0029489,CAND0029489,0
APP0031214,JOB0031214,CAND0031214,1
APP0015349,JOB0015349,CAND0015349,0
APP0045789,JOB0045789,CAND0045789,1
APP0048081,JOB0048081,CAND0048081,0
APP0020976,JOB0020976,CAND0020976,1
APP0012716,JOB0012716,CAND0012716,0
APP0029523,JOB0029523,CAND0029523,0
APP0027656,JOB0027656,CAND0027656,0
APP0046127,JOB0046127,CAND0046127,0
APP0014637,JOB0014637,CAND0014637,1
APP0043212,JOB0043212,CAND0043212,1
APP0029119,JOB0029119,CAND0029119,0
APP0034742,JOB0034742,CAND0034742,0
APP0037807,JOB0037807,CAND0037807,0
APP0039360,JOB0039360,CAND0039360,0
APP0049717,JOB0049717,CAND0049717,0
APP0000949,JOB0000949,CAND0000949,0
APP0015847,JOB0015847,CAND0015847,0
APP0048429,JOB0048429,CAND0048429,1
APP0032548,JOB0032548,CAND0032548,0
APP0043964,JOB0043964,CAND0043964,0
APP0011280,JOB0011280,CAND0011280,1
APP0028027,JOB0028027,CAND0028027,0
APP0037828,JOB0037828,CAND0037828,1
APP0025843,JOB0025843,CAND0025843,1
APP0020904,JOB0020904,CAND0020904,0
APP0018113,JOB0018113,CAND0018113,0
APP0036364,JOB0036364,CAND0036364,1
APP0001361,JOB0001361,CAND0001361,0
APP0040446,JOB0040446,CAND0040446,0
APP0011439,JOB0011439,CAND0011439,1
APP0024953,JOB0024953,CAND0024953,1
APP0041247,JOB0041247,CAND0041247,1
APP0034167,JOB0034167,CAND0034167,0
APP0015998,JOB0015998,CAND0015998,0
APP0044658,JOB0044658,CAND0044658,0
APP0034796,JOB0034796,CAND0034796,0
APP0007682,JOB0007682,CAND0007682,1
APP0049914,JOB0049914,CAND0049914,1
APP0015389,JOB0015389,CAND0015389,1
APP0025276,JOB0025276,CAND0025276,0
APP0021128,JOB0021128,CAND0021128,1
APP0001840,JOB0001840,CAND0001840,0
APP0015167,JOB0015167,CAND0015167,0
APP0031513,JOB0031513,CAND0031513,1
APP0032865,JOB0032865,CAND0032865,0
APP0040338,JOB0040338,CAND0040338,0
APP0008229,JOB0008229,CAND0008229,1
APP0035145,JOB0035145,CAND0035145,0
APP0044351,JOB0044351,CAND0044351,0
APP0046798,JOB0046798,CAND0046798,1
APP0014629,JOB0014629,CAND0014629,0
APP0023906,JOB0023906,CAND0023906,1
APP0005021,JOB0005021,CAND0005021,0
APP0016563,JOB0016563,CAND0016563,1
APP0000541,JOB0000541,CAND0000541,1
APP0007937,JOB0007937,CAND0007937,1
APP0047736,JOB0047736,CAND0047736,0
APP0024883,JOB0024883,CAND0024883,1
APP0024132,JOB0024132,CAND0024132,1
APP0019646,JOB0019646,CAND0019646,1
APP0004188,JOB0004188,CAND0004188,1
APP0013478,JOB0013478,CAND0013478,1
APP0023066,JOB0023066,CAND0023066,1
APP0011313,JOB0011313,CAND0011313,0
APP0037170,JOB0037170,CAND0037170,1
APP0027977,JOB0027977,CAND0027977,1
APP0029344,JOB0029344,CAND0029344,1
APP0018738,JOB0018738,CAND0018738,0
APP0018950,JOB0018950,CAND0018950,1
APP0025188,JOB0025188,CAND0025188,1
APP0030377,JOB0030377,CAND0030377,0
APP0045849,JOB0045849,CAND0045849,1
APP0014997,JOB0014997,CAND0014997,1
APP0002603,JOB0002603,CAND0002603,1
APP0026088,JOB0026088,CAND0026088,1
APP0041424,JOB0041424,CAND0041424,0
APP0005748,JOB0005748,CAND0005748,0
APP0012282,JOB0012282,CAND0012282,0
APP0003269,JOB0003269,CAND0003269,1
APP0034627,JOB0034627,CAND0034627,0
APP0023785,JOB0023785,CAND0023785,1
APP0047522,JOB0047522,CAND0047522,0
